customer_id,service_date,vehicle_type,service_type,service_cost,service_duration,customer_rating,payment_method,location,record_source
C0189,2022-02-25,HATCHBACK,deluxe wash,63.07,55.0,3.0,Membership,AIRPORT,Web
C0355,2021-04-17,Sedan,Premium Wash,39.81,42.0,3.0,Cash,Suburban,WEB
C0045,2021-07-02,luxury,Interior Detailing,118.87,80.0,2.0,credit card,Airport,MOBILE
C0720,2024-06-10,SUV,Basic Wash,15.38,19.0,4.0,credit card,highway,in-person
C0444,2021-08-22,VAN,basic wash,15.46,23.0,2.0,Debit Card,MALL,in-person
C0842,2021-07-05,truck,PREMIUM WASH,46.96,34.0,3.0,membership,Suburban,Web
C0569,02/04/2022,Van,deluxe wash,65.95,56.0,3.0,mobile pay,mall,In-Person
C0186,29-10-2021,LUXURY,full service,112.53,120.0,3.0,membership,Highway,MOBILE
C0462,2021-07-09,Van,PREMIUM WASH,43.5,35.0,1.0,credit card,Airport,In-Person
C0751,2021-07-12,Hatchback,Basic Wash,19.87,16.0,5.0,Credit Card,Highway,Web
C0914,2021-11-20,Van,FULL SERVICE,101.83,107.0,4.0,debit card,Airport,WEB
C0298,,,,,,,,,
C0991,2022-01-28,HATCHBACK,deluxe wash,59.63,51.0,4.0,Mobile Pay,AIRPORT,Web
C0665,2021-09-28,,deluxe wash,71.7,50.0,,Mobile Pay,Airport,Web
C0386,02-04-2023,Hatchback,Interior Detailing,93.8,60.0,4.0,Credit Card,Highway,MOBILE
C0162,,,,,,,,,
C0165,2021-06-22,van,Interior Detailing,116.9,78.0,4.0,membership,highway,MOBILE
C0483,2022-12-16,HATCHBACK,Basic Wash,22.95,25.0,4.0,membership,Suburban,WEB
C0236,2021-07-10,Truck,Premium Wash,48.64,33.0,3.0,Membership,Downtown,WEB
C0121,2021-12-08,Van,Premium Wash,35.02,43.0,4.0,Cash,Airport,in-person
C0391,2021-04-18,hatchback,Basic Wash,17.33,23.0,4.0,Cash,MALL,in-person
C0705,2024-04-17,suv,Premium Wash,43.78,41.0,4.0,Mobile Pay,Highway,WEB
C0380,08-08-2021,truck,Interior Detailing,110.97,87.0,4.0,MOBILE PAY,mall,In-Person
C0629,2021-05-30,HATCHBACK,Premium Wash,unknown,N/A,2.0,debit card,MALL,in-person
C0411,2022-01-16,VAN,Basic Wash,16.75,25.0,5.0,credit card,Downtown,WEB
C0238,2021-06-25,Truck,FULL SERVICE,148.78,102.0,4.0,Membership,Highway,Web
C0563,20-10-2021,Van,PREMIUM WASH,49.45,36.0,4.0,Cash,highway,WEB
C0302,2021-06-27,,deluxe wash,72.52,59.0,,Mobile Pay,AIRPORT,In-Person
C0470,2021-07-04,Sedan,PREMIUM WASH,38.87,37.0,4.0,debit card,Airport,WEB
C0718,24-05-2023,HATCHBACK,full service,141.05,105.0,3.0,Membership,highway,MOBILE
C0205,2021-08-23,Truck,Premium Wash,38.75,33.0,2.0,membership,AIRPORT,WEB
C0869,2021-11-03,Van,FULL SERVICE,124.54,98.0,4.0,Credit Card,Downtown,in-person
C0554,2021-05-10,  suv  ,  basic wash  ,16.2,15.0,1.0,Membership,MALL,WEB
C0192,2021-06-15,Van,basic wash,16.84,20.0,4.0,MOBILE PAY,mall,WEB
C0834,2021-11-23,HATCHBACK,FULL SERVICE,140.0,90.0,3.0,membership,Suburban,In-Person
C0880,2021-12-25,SUV,PREMIUM WASH,42.15,40.0,3.0,mobile pay,highway,in-person
C0889,2022-02-18,Van,FULL SERVICE,126.92,100.0,4.0,MOBILE PAY,MALL,In-Person
C0980,2021-03-17,HATCHBACK,Interior Detailing,102.87,65.0,3.0,membership,highway,WEB
C0278,01/14/2024,HATCHBACK,full service,142.71,98.0,5.0,CASH,Highway,Web
C0485,17-04-2021,SUV!,#Basic Wash,16.55,19.0,3.0,MOBILE PAY,mall,Web
C0366,2023-10-29,nan!,#full service,148.75,104.0,,Credit Card,mall,in-person
C0652,09-06-2024,luxury,Interior Detailing,93.89,74.0,3.0,Credit Card,highway,MOBILE
C0481,2021-09-05,truck,full service,-114.65,101.0,3.0,Mobile Pay,Airport,in-person
C0226,2021-08-26,truck,deluxe wash,65.64,47.0,3.0,membership,AIRPORT,In-Person
C0504,2021-04-10,LUXURY,Premium Wash,39.23,30.0,3.0,MOBILE PAY,Highway,In-Person
C0511,2024-08-07,HATCHBACK,basic wash,16.46,23.0,4.0,Debit Card,Airport,Web
C0732,14-09-2021,Sedan,Premium Wash,46.03,36.0,4.0,Debit Card,Suburban,WEB
C0260,2021-08-25,Sedan,Premium Wash,38.27,40.0,1.0,Membership,MALL,MOBILE
C0044,2021-11-21,,Premium Wash,43.94,35.0,,MOBILE PAY,MALL,In-Person
C0778,08/13/2021,suv,Basic Wash,22.91,23.0,5.0,MOBILE PAY,Highway,MOBILE
C0041,08/14/2021,luxury,PREMIUM WASH,37.85,44.0,3.0,mobile pay,mall,In-Person
C0555,31-08-2021,suv,FULL SERVICE,130.99,100.0,4.0,mobile pay,Airport,WEB
C0290,28-02-2021,SUV,Interior Detailing,82.67,87.0,1.0,credit card,MALL,in-person
C0539,2022-02-09,Hatchback,PREMIUM WASH,432.40047072788775,32.0,4.0,debit card,Airport,Web
C0273,2021-08-05,truck,basic wash,20.19,21.0,3.0,credit card,mall,WEB
C0109,2024-01-04,SUV,FULL SERVICE,109.02,95.0,4.0,debit card,Suburban,In-Person
C0423,05/31/2024,  Van  ,  Interior Detailing  ,101.83,83.0,3.0,MOBILE PAY,Airport,In-Person
C0531,07/05/2021,truck!,#Interior Detailing,88.59,90.0,4.0,mobile pay,mall,MOBILE
C0376,2023-05-27,truck,basic wash,24.18,22.0,3.0,Membership,MALL,In-Person
C0828,2021-07-06,,Interior Detailing,93.92,87.0,,CASH,Highway,WEB
C0650,2024-02-23,LUXURY,full service,107.48,91.0,4.0,MOBILE PAY,MALL,In-Person
C0152,2022-02-28,Sedan,Basic Wash,17.63,17.0,5.0,credit card,AIRPORT,WEB
C0631,2024-12-09,SUV,Interior Detailing,97.2,63.0,4.0,debit card,Highway,WEB
C0789,2021-05-23,van,full service,unknown,N/A,4.0,Cash,Highway,MOBILE
C0840,2021-10-30,truck,Basic Wash,15.23,18.0,4.0,mobile pay,AIRPORT,MOBILE
C0685,2021-10-01,truck,basic wash,17.84,15.0,4.0,CASH,Airport,In-Person
C0020,16-11-2021,HATCHBACK,Premium Wash,45.65,32.0,3.0,MOBILE PAY,Downtown,In-Person
C0403,2022-02-07,  Hatchback  ,  Interior Detailing  ,92.09,68.0,5.0,Mobile Pay,Downtown,In-Person
C0350,2022-10-09,HATCHBACK,full service,133.9,103.0,3.0,Debit Card,Suburban,MOBILE
C0142,30-06-2021,  truck  ,  PREMIUM WASH  ,unknown,N/A,4.0,Credit Card,Suburban,Web
C0860,02-03-2022,HATCHBACK,FULL SERVICE,137.28,113.0,3.0,CASH,mall,WEB
C0621,2021-11-02,Truck,Premium Wash,40.39,45.0,4.0,Mobile Pay,AIRPORT,MOBILE
C0034,2021-12-10,Truck,FULL SERVICE,149.41,119.0,5.0,Membership,AIRPORT,in-person
C0438,2021-05-26,Hatchback,FULL SERVICE,146.96,110.0,5.0,mobile pay,MALL,Web
C0252,04/13/2021,luxury,basic wash,22.65,22.0,4.0,Debit Card,AIRPORT,Web
C0926,2021-11-18,LUXURY!,#Basic Wash,24.38,21.0,3.0,MOBILE PAY,Highway,Web
C0709,07/31/2021,suv,Basic Wash,18.63,23.0,4.0,mobile pay,Airport,In-Person
C0676,2022-11-29,Sedan,PREMIUM WASH,39.64,35.0,2.0,credit card,Downtown,In-Person
C0510,2022-01-12,,full service,111.89,103.0,,MOBILE PAY,MALL,Web
C0561,07/01/2021,truck,FULL SERVICE,132.66,111.0,4.0,debit card,MALL,MOBILE
C0292,2022-03-19,Luxury,PREMIUM WASH,40.4,40.0,4.0,CASH,Airport,Web
C0138,2021-06-12,luxury,FULL SERVICE,110.49,108.0,4.0,CASH,AIRPORT,WEB
C0724,2021-09-11,luxury,deluxe wash,67.46,60.0,4.0,MOBILE PAY,mall,MOBILE
C0199,05/06/2021,SUV,deluxe wash,59.15,46.0,3.0,membership,Highway,In-Person
C0070,2021-06-06,sedan,Premium Wash,40.94,35.0,3.0,membership,AIRPORT,Web
C0494,2021-08-25,Luxury,Interior Detailing,96.56,69.0,4.0,mobile pay,Downtown,In-Person
C0910,2022-05-16,Sedan,deluxe wash,62.5,57.0,3.0,Debit Card,Suburban,In-Person
C0509,2024-02-01,truck,FULL SERVICE,115.12,114.0,3.0,mobile pay,Downtown,WEB
C0349,08-12-2024,HATCHBACK,FULL SERVICE,141.11,94.0,3.0,Mobile Pay,MALL,WEB
C0342,2021-07-15,TRUCK,Basic Wash,21.39,19.0,3.0,MOBILE PAY,MALL,MOBILE
C0016,2024-11-18,luxury,full service,115.92,99.0,4.0,Debit Card,Suburban,Web
C0483,2022-04-14,sedan,Basic Wash,22.05,22.0,4.0,credit card,MALL,in-person
C0096,2024-08-17,truck,basic wash,22.1,18.0,2.0,Debit Card,Suburban,In-Person
C0904,2021-09-22,luxury,full service,142.29,108.0,2.0,CASH,Suburban,Web
C0546,2021-02-22,Van,full service,107.95,96.0,5.0,Mobile Pay,Suburban,MOBILE
C0686,2021-09-24,LUXURY,PREMIUM WASH,39.88,39.0,5.0,CASH,Airport,Web
C0837,2021-09-26,suv,basic wash,19.53,22.0,,credit card,Highway,In-Person
C0814,16-09-2023,Hatchback,FULL SERVICE,129.14,117.0,2.0,debit card,Downtown,In-Person
C0289,2023-04-27,Van,deluxe wash,61.36,51.0,4.0,credit card,Airport,In-Person
C0158,2021-04-19,sedan,PREMIUM WASH,unknown,N/A,2.0,Mobile Pay,AIRPORT,WEB
C0639,2021-03-19,Luxury,Interior Detailing,-89.03,75.0,5.0,mobile pay,highway,WEB
C0035,2024-09-16,Van,Basic Wash,21.9,19.0,4.0,Membership,MALL,Web
C0553,02-10-2023,luxury!,#Interior Detailing,98.75,83.0,3.0,Debit Card,highway,WEB
C0745,2023-06-18,Luxury,Basic Wash,20.73,24.0,1.0,Credit Card,MALL,In-Person
C0631,12-02-2025,SUV,Interior Detailing,116.41,71.0,5.0,credit card,AIRPORT,Web
C0087,11/12/2022,HATCHBACK,FULL SERVICE,122.01,113.0,5.0,Debit Card,MALL,in-person
C0765,26-12-2024,HATCHBACK,basic wash,16.45,22.0,4.0,mobile pay,Downtown,In-Person
C0443,2021-11-01,truck,Interior Detailing,83.93,84.0,4.0,membership,Highway,MOBILE
C0011,2021-09-12,hatchback,basic wash,19.46,18.0,1.0,Cash,Highway,Web
C0123,2021-08-24,  Van  ,  Basic Wash  ,16.85,19.0,4.0,membership,AIRPORT,In-Person
C0709,2023-10-25,SUV,Premium Wash,35.94,38.0,5.0,MOBILE PAY,MALL,MOBILE
C0183,01/03/2022,HATCHBACK,Basic Wash,21.43,16.0,1.0,Debit Card,AIRPORT,Web
C0681,20-10-2021,VAN,FULL SERVICE,138.55,113.0,5.0,mobile pay,Highway,in-person
C0549,01/06/2024,truck,deluxe wash,67.65,55.0,2.0,Debit Card,Highway,in-person
C0307,2022-01-01,Hatchback,Premium Wash,48.28,31.0,3.0,Membership,Highway,Web
C0659,2021-07-17,sedan,full service,139.39,115.0,4.0,membership,mall,MOBILE
C0038,2024-09-28,VAN,full service,106.53,99.0,5.0,Membership,mall,Web
C0109,2024-03-15,SUV,Premium Wash,41.39,42.0,3.0,Membership,mall,MOBILE
C0608,2021-12-15,suv,FULL SERVICE,108.4,97.0,5.0,CASH,Airport,Web
C0083,2021-02-20,HATCHBACK,deluxe wash,70.84,49.0,4.0,Mobile Pay,Highway,WEB
C0611,2021-04-16,  truck  ,  Basic Wash  ,15.05,23.0,5.0,mobile pay,Highway,MOBILE
C0199,27-07-2021,Luxury,full service,133.51,99.0,3.0,Membership,AIRPORT,WEB
C0805,2021-03-26,Truck,basic wash,20.93,25.0,5.0,CASH,Suburban,MOBILE
C0891,2021-08-19,Luxury,FULL SERVICE,102.72,109.0,4.0,Credit Card,AIRPORT,In-Person
C0208,2021-11-30,TRUCK,basic wash,19.59,19.0,4.0,membership,mall,WEB
C0089,2021-12-29,Truck,basic wash,23.37,18.0,3.0,credit card,mall,Web
C0046,2022-01-17,  HATCHBACK  ,  basic wash  ,19.79,22.0,4.0,Cash,Airport,MOBILE
C0245,2021-03-24,truck,FULL SERVICE,122.96,104.0,4.0,Mobile Pay,mall,In-Person
C0721,2021-10-05,Hatchback,FULL SERVICE,114.83,109.0,4.0,membership,MALL,In-Person
C0057,2021-07-12,sedan,full service,130.96,107.0,4.0,credit card,mall,MOBILE
C0665,2022-01-06,Truck,Interior Detailing,110.44,76.0,4.0,CASH,Suburban,in-person
C0850,2021-12-03,luxury,deluxe wash,64.04,47.0,3.0,CASH,MALL,MOBILE
C0980,2021-04-04,suv,Premium Wash,48.12,39.0,4.0,Credit Card,AIRPORT,in-person
C0022,2022-01-09,Truck,FULL SERVICE,125.98,110.0,4.0,Membership,AIRPORT,WEB
C0809,03/05/2022,Luxury,deluxe wash,60.76,54.0,4.0,Credit Card,highway,MOBILE
C0120,2021-09-29,Luxury,Interior Detailing,87.38,70.0,5.0,MOBILE PAY,mall,Web
C0415,2022-10-25,SUV,Interior Detailing,119.02,75.0,5.0,Membership,mall,in-person
C0116,2022-03-24,luxury,deluxe wash,67.35,55.0,2.0,Membership,Highway,In-Person
C0086,2022-01-24,luxury,Basic Wash,19.9,15.0,5.0,Credit Card,Airport,In-Person
C0354,17-09-2021,,Basic Wash,unknown,N/A,,MOBILE PAY,highway,in-person
C0425,07-12-2021,suv,full service,123.73,92.0,5.0,Mobile Pay,MALL,In-Person
C0570,2021-05-02,Truck,PREMIUM WASH,40.73,39.0,5.0,mobile pay,AIRPORT,Web
C0308,2024-08-25,truck,basic wash,19.92,16.0,5.0,CASH,Suburban,WEB
C0265,03/17/2021,Hatchback,Basic Wash,20.75,15.0,2.0,Credit Card,Suburban,in-person
C0979,2021-11-24,SUV,deluxe wash,70.33,50.0,4.0,membership,highway,In-Person
C0594,10/05/2021,luxury,FULL SERVICE,138.94,95.0,,CASH,Highway,MOBILE
C0573,2021-08-06,HATCHBACK,Basic Wash,15.76,22.0,3.0,Credit Card,AIRPORT,WEB
C0994,04-11-2021,  SUV  ,  PREMIUM WASH  ,47.85,34.0,3.0,Mobile Pay,MALL,in-person
C0111,2021-11-27,,Basic Wash,15.59,16.0,,Debit Card,Downtown,Web
C0211,2021-09-17,hatchback,deluxe wash,69.92,56.0,3.0,Membership,Highway,Web
C0593,2024-12-19,Truck,full service,-108.59,113.0,,CASH,Highway,in-person
C0604,2022-12-21,Hatchback,PREMIUM WASH,41.36,40.0,2.0,Credit Card,AIRPORT,In-Person
C0042,2021-05-29,truck,PREMIUM WASH,46.04,37.0,4.0,Mobile Pay,Highway,in-person
C0377,15-06-2021,SUV,Basic Wash,20.23,21.0,4.0,CASH,mall,In-Person
C0865,2022-09-09,HATCHBACK,Premium Wash,39.18,38.0,5.0,Mobile Pay,Suburban,WEB
C0497,2021-10-19,SUV,Basic Wash,19.97,16.0,4.0,MOBILE PAY,Downtown,in-person
C0335,2021-05-30,luxury,Basic Wash,22.93,22.0,4.0,mobile pay,Downtown,Web
C0902,2024-02-25,HATCHBACK,Premium Wash,35.54,39.0,5.0,Mobile Pay,mall,in-person
C0113,2021-07-14,Luxury,full service,107.82,108.0,5.0,debit card,highway,Web
C0132,2023-12-16,Hatchback,basic wash,19.28,15.0,4.0,membership,highway,Web
C0118,2021-07-13,Sedan,Premium Wash,47.95,38.0,1.0,Cash,Suburban,in-person
C0101,2022-07-24,Hatchback,Premium Wash,47.17,39.0,4.0,MOBILE PAY,MALL,WEB
C0272,2021-04-20,Truck,basic wash,24.58,24.0,3.0,mobile pay,AIRPORT,In-Person
C0668,2024-10-30,luxury,FULL SERVICE,120.72,111.0,5.0,Cash,mall,MOBILE
C0844,08/15/2024,luxury,FULL SERVICE,142.64,113.0,4.0,debit card,AIRPORT,In-Person
C0421,,,,,,,,,
C0574,2024-05-14,Truck,basic wash,16.36,25.0,4.0,Cash,AIRPORT,Web
C0086,2022-02-13,Hatchback,FULL SERVICE,144.29,116.0,2.0,mobile pay,MALL,WEB
C0954,2021-05-10,VAN,Premium Wash,39.94,37.0,5.0,CASH,mall,In-Person
C0261,2022-04-25,  Hatchback  ,  PREMIUM WASH  ,36.69,37.0,5.0,Credit Card,Suburban,In-Person
C0022,18-03-2022,Truck,basic wash,18.85,25.0,2.0,MOBILE PAY,Airport,In-Person
C0959,2023-04-28,suv,basic wash,21.31,21.0,5.0,CASH,AIRPORT,in-person
C0341,2022-07-25,luxury!,#deluxe wash,unknown,N/A,5.0,Credit Card,AIRPORT,MOBILE
C0205,2021-12-06,,deluxe wash,57.22,49.0,,Membership,Airport,In-Person
C0895,06/18/2023,Van,deluxe wash,70.99,50.0,4.0,Membership,Highway,WEB
C0642,22-10-2021,truck,Premium Wash,37.53,38.0,2.0,Credit Card,MALL,in-person
C0507,2022-01-15,truck,Basic Wash,19.94,24.0,3.0,membership,Highway,in-person
C0030,2021-11-14,Luxury,full service,118.48,90.0,4.0,Mobile Pay,Highway,in-person
C0263,2021-06-30,Hatchback,PREMIUM WASH,42.06,31.0,1.0,Mobile Pay,highway,In-Person
C0914,2022-01-25,suv,Basic Wash,24.3,20.0,4.0,Debit Card,MALL,MOBILE
C0997,01/09/2024,truck,deluxe wash,70.23,50.0,3.0,Credit Card,AIRPORT,MOBILE
C0482,2021-06-21,SUV,Premium Wash,48.91,45.0,4.0,Credit Card,MALL,MOBILE
C0185,07-11-2024,Van,Premium Wash,35.06,32.0,3.0,CASH,Suburban,Web
C0605,2022-08-06,SEDAN,PREMIUM WASH,44.89,30.0,3.0,Membership,AIRPORT,WEB
C0884,01/01/2022,Sedan,Interior Detailing,101.89,68.0,3.0,Mobile Pay,MALL,in-person
C0292,2022-07-05,truck,Premium Wash,41.49,34.0,4.0,debit card,Highway,in-person
C0577,2021-06-21,Van,Interior Detailing,105.23,74.0,4.0,Credit Card,AIRPORT,WEB
C0480,2021-05-26,suv,basic wash,21.84,21.0,,Debit Card,Downtown,Web
C0523,2022-03-16,Van,Premium Wash,40.33,30.0,2.0,Credit Card,mall,Web
C0898,05-10-2023,Luxury,Basic Wash,19.5,17.0,,credit card,mall,In-Person
C0109,2024-05-06,SUV,Premium Wash,41.9,45.0,3.0,Membership,Suburban,in-person
C0090,26-02-2022,Sedan,PREMIUM WASH,240.8309658768513,37.0,4.0,mobile pay,Highway,MOBILE
C0023,2021-04-01,Luxury,Interior Detailing,98.86,66.0,3.0,Mobile Pay,Downtown,Web
C0731,2022-01-05,Sedan,deluxe wash,64.72,60.0,3.0,Cash,Airport,WEB
C0915,24-07-2021,,FULL SERVICE,124.74,112.0,,Mobile Pay,Downtown,in-person
C0238,2021-08-31,Van,Interior Detailing,108.61,83.0,4.0,membership,Suburban,MOBILE
C0290,2021-03-21,suv,PREMIUM WASH,44.09,45.0,3.0,Cash,Downtown,In-Person
C0163,2022-03-25,SUV,basic wash,16.14,22.0,3.0,debit card,Downtown,WEB
C0155,2024-11-21,Sedan,Basic Wash,19.38,16.0,5.0,Membership,MALL,Web
C0172,2022-03-03,Hatchback!,#FULL SERVICE,114.61,113.0,5.0,debit card,Suburban,Web
C0450,2022-01-14,Luxury,full service,unknown,N/A,4.0,credit card,mall,WEB
C0234,07/09/2021,HATCHBACK,deluxe wash,74.04,45.0,4.0,mobile pay,MALL,MOBILE
C0403,2022-11-06,luxury,basic wash,19.19,19.0,4.0,debit card,Downtown,WEB
C0151,2024-07-02,Hatchback,full service,139.08,99.0,2.0,Mobile Pay,mall,WEB
C0096,2024-09-23,SUV,basic wash,unknown,N/A,4.0,CASH,Downtown,In-Person
C0363,2021-05-29,Luxury,Basic Wash,22.37,24.0,4.0,membership,Highway,In-Person
C0835,10/14/2022,SUV,Premium Wash,43.74,33.0,2.0,Mobile Pay,MALL,MOBILE
C0457,2021-08-30,Van,Interior Detailing,111.15,80.0,4.0,MOBILE PAY,Airport,MOBILE
C0497,2022-09-22,Truck,Basic Wash,15.33,16.0,4.0,CASH,Suburban,Web
C0121,01/19/2022,luxury,Premium Wash,46.76,39.0,5.0,MOBILE PAY,Downtown,Web
C0587,2022-02-18,  Luxury  ,  FULL SERVICE  ,141.68,110.0,4.0,MOBILE PAY,mall,In-Person
C0640,2021-08-07,HATCHBACK,full service,102.29,98.0,,membership,MALL,Web
C0816,25-09-2023,SUV,basic wash,15.85,15.0,5.0,MOBILE PAY,Downtown,MOBILE
C0282,18-05-2023,SUV,full service,unknown,N/A,5.0,Credit Card,Airport,in-person
C0118,2022-12-11,suv,Premium Wash,36.34,35.0,2.0,Credit Card,Downtown,In-Person
C0328,2021-12-27,HATCHBACK,full service,144.98,109.0,4.0,mobile pay,Airport,In-Person
C0476,2021-08-15,,Basic Wash,19.07,19.0,,mobile pay,MALL,WEB
C0129,09-01-2022,luxury,Basic Wash,24.68,18.0,4.0,mobile pay,AIRPORT,WEB
C0996,06-03-2022,truck,full service,141.97,110.0,3.0,Debit Card,Downtown,Web
C0405,2021-07-15,luxury,Premium Wash,48.17,40.0,5.0,membership,highway,in-person
C0679,2023-12-01,Van,deluxe wash,73.28,60.0,6.0,Mobile Pay,AIRPORT,WEB
C0898,2023-12-15,Luxury,Basic Wash,18.53,20.0,,Mobile Pay,mall,Web
C0380,2024-06-29,Sedan,Interior Detailing,107.22,86.0,4.0,credit card,Highway,In-Person
C0505,03/05/2023,,basic wash,24.84,19.0,,Membership,AIRPORT,WEB
C0618,2022-02-08,SUV,Interior Detailing,114.22,68.0,3.0,membership,highway,in-person
C0438,2021-06-29,,PREMIUM WASH,49.08,38.0,,CASH,AIRPORT,WEB
C0906,2022-04-07,HATCHBACK!,#FULL SERVICE,unknown,N/A,4.0,credit card,Airport,MOBILE
C0338,2021-10-29,Luxury,basic wash,15.24,19.0,3.0,debit card,Downtown,WEB
C0967,2021-04-01,Luxury,Basic Wash,15.86,20.0,5.0,Credit Card,Downtown,in-person
C0626,2021-09-08,,Interior Detailing,82.23,72.0,,CASH,Airport,WEB
C0639,04/13/2021,HATCHBACK,Interior Detailing,104.77,85.0,1.0,Membership,Highway,Web
C0861,2022-03-13,luxury,FULL SERVICE,121.05,97.0,2.0,Credit Card,highway,WEB
C0773,2021-10-07,suv,PREMIUM WASH,44.05,34.0,2.0,mobile pay,Downtown,MOBILE
C0656,2022-05-21,Luxury,PREMIUM WASH,49.73,40.0,4.0,Credit Card,MALL,Web
C0943,2021-04-02,Van,full service,124.04,115.0,4.0,Credit Card,Downtown,Web
C0569,2022-05-18,Van,deluxe wash,62.2,54.0,3.0,Credit Card,Suburban,MOBILE
C0023,2021-05-12,suv,basic wash,22.87,19.0,4.0,debit card,mall,WEB
C0900,2022-08-31,suv,PREMIUM WASH,37.88,43.0,5.0,Cash,Highway,In-Person
C0336,2021-12-15,luxury,PREMIUM WASH,48.29,45.0,5.0,Credit Card,Airport,WEB
C0532,2021-09-26,Luxury,full service,129.06,110.0,1.0,credit card,AIRPORT,in-person
C0436,2022-11-18,truck,Interior Detailing,85.37,71.0,3.0,mobile pay,Suburban,in-person
C0377,2023-10-12,Sedan,Basic Wash,17.34,16.0,3.0,mobile pay,MALL,MOBILE
C0074,2021-10-12,Truck,deluxe wash,60.0,53.0,,credit card,mall,WEB
C0009,2023-08-01,HATCHBACK,FULL SERVICE,1045.0182889203893,120.0,2.0,credit card,Highway,WEB
C0566,02-08-2024,SUV,basic wash,16.88,18.0,4.0,Cash,Suburban,In-Person
C0010,2021-05-07,Truck,Interior Detailing,107.43,77.0,3.0,Membership,Downtown,MOBILE
C0339,09/17/2021,HATCHBACK,FULL SERVICE,119.53,93.0,3.0,membership,highway,WEB
C0847,2021-08-23,TRUCK,deluxe wash,60.68,47.0,4.0,Cash,mall,in-person
C0114,2022-01-16,SUV!,#FULL SERVICE,145.18,99.0,4.0,MOBILE PAY,mall,In-Person
C0515,2024-07-28,Sedan,basic wash,19.46,18.0,4.0,MOBILE PAY,AIRPORT,Web
C0295,2022-01-24,truck,deluxe wash,71.47,50.0,5.0,MOBILE PAY,Airport,MOBILE
C0098,2022-02-05,suv,Basic Wash,21.28,18.0,5.0,mobile pay,MALL,Web
C0517,10/30/2023,suv,PREMIUM WASH,42.59,44.0,4.0,credit card,Airport,MOBILE
C0767,07/27/2021,luxury,PREMIUM WASH,45.7,38.0,5.0,Cash,MALL,in-person
C0688,2023-07-14,Hatchback,FULL SERVICE,135.72,104.0,4.0,mobile pay,MALL,In-Person
C0613,2021-11-19,Truck,Premium Wash,40.62,43.0,6.0,membership,MALL,Web
C0851,2021-06-16,HATCHBACK,FULL SERVICE,140.78,109.0,3.0,Mobile Pay,MALL,Web
C0178,2022-03-16,HATCHBACK,full service,111.0,109.0,4.0,credit card,Airport,WEB
C0105,12/18/2022,SUV!,#deluxe wash,74.63,49.0,3.0,debit card,AIRPORT,WEB
C0524,2021-05-03,  Sedan  ,  PREMIUM WASH  ,44.25,43.0,5.0,Cash,mall,In-Person
C0385,2021-10-02,Van,Interior Detailing,97.75,70.0,4.0,mobile pay,Airport,In-Person
C0235,2023-11-10,Truck,Premium Wash,48.6,37.0,4.0,debit card,mall,Web
C0504,2021-05-19,,Premium Wash,49.88,35.0,,Membership,Highway,Web
